Location of Private Lateral,Zipcode,"Date of WW
Release",lat,long
"10506 Bucknell Rd, Houston, Texas, 77016",77016,2021-05-04,29.8644974,-95.3075492999999
"4718 Lockwood Dr, Houston, Texas, 77026",77026,2021-05-04,29.8037191,-95.3166425
"212 Nagle St, Houston, Texas, 77003",77003,2021-05-04,29.7538415,-95.3458386
"4102 Mangum Rd, Houston, Texas, 77092",77092,2021-05-04,29.8279639,-95.4614402999999
"7333 Glen Manor Dr, Houston, Texas, 77028",77028,2021-05-04,29.8417572999999,-95.296713
"12703 Ashford Pine Dr, Houston, Texas, 77082",77082,2021-05-04,29.7307867,-95.6124731
"6410 Lazaras St, Houston, Texas, 77022",77022,2021-05-04,29.8170192999999,-95.3637950999999
"12703 Corning Dr, Houston, Texas, 77089",77089,2021-05-04,29.5919725999999,-95.1992417
"10101 Forum Park Dr, Houston, Texas, 77036",77036,2021-05-04,29.6717854,-95.5544065
"11514 Mullins Dr, Houston, Texas, 77035",77035,2021-05-05,29.6540265,-95.4861722
"7646 Oak Vista St, Houston, Texas, 77087",77087,2021-05-04,29.6791662,-95.2875232
"7302 Lawndale St, Houston, Texas, 77012",77012,2021-05-05,29.7164465999999,-95.288304
"9327 Richland Dr, Houston, Texas, 77078",77078,2021-05-05,29.8374883,-95.248837
"139 Hahlo St, Houston, Texas, 77020",77020,2021-05-05,29.7860235,-95.3092497999999
"9030 Dexter St, Houston, Texas, 77075",77075,2021-05-05,29.6384282,-95.2529474999999
"2117 Maury St, Houston, Texas, 77026",77026,2021-05-05,29.7811913,-95.3499914
"8159 Herschelwood St, Houston, Texas, 77033",77033,2021-05-05,29.6636325,-95.3450786
"8031 Filltop St, Houston, Texas, 77028",77028,2021-05-06,29.8184717999999,-95.2797748999999
"2711 Briarhurst Dr, Houston, Texas, 77057",77057,2021-05-06,29.7371334,-95.4924315
"2702 Delano St, Houston, Texas, 77004",77004,2021-05-06,29.7353822,-95.3594653999999
"5142 Cosby St, Houston, Texas, 77021",77021,2021-05-06,29.6920887,-95.3399704999999
"3720 Tuam St, Houston, Texas, 77004",77004,2021-05-06,29.7295125,-95.3466424
"118 Eastgate St, Houston, Texas, 77012",77012,2021-05-06,29.728632,-95.2893637
"2112 Leeland St, Houston, Texas, 77003",77003,2021-05-06,29.7461243,-95.35875
"8128 Park Terrace Blvd, Houston, Texas, 77017",77017,2021-05-06,29.7005636,-95.2758516
